#,,,,,,,,,,"generated_by='OpenQuake engine 3.14.0-gitac4adff13b', start_date='2022-04-14T11:28:22', checksum=3625500031, investigation_time=1.0, risk_investigation_time=1.0"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,losses,loss_type,rup_id,year
0,2.49419E-01,5.32848E-04,1.11630E-05,5.90739E-07,5.92828E-08,7.49652E-08,1.15231E+04,structural,0,1
1,2.02509E+01,2.45010E-01,1.60723E-02,2.88445E-03,2.42768E-04,1.49354E-04,3.12185E+04,structural,1,1
20,5.19738E-01,1.51365E-03,4.75883E-05,7.77822E-07,6.47932E-08,4.42497E-08,3.51325E+03,structural,17,1
21,5.97016E+02,2.58268E+01,3.08849E+00,8.28071E-01,9.14653E-02,1.22682E-01,2.54382E+07,structural,18,1
22,1.07562E+04,8.43491E+02,2.15376E+02,2.22614E+02,2.31697E+01,6.20534E+00,2.37564E+08,structural,19,1
23,8.88371E+04,2.28225E+04,8.70302E+03,1.28084E+04,1.33145E+03,6.47652E+02,4.21106E+09,structural,20,1
24,5.30812E+04,9.77911E+03,3.30399E+03,3.60312E+03,3.77814E+02,2.14397E+02,1.83823E+09,structural,21,1
25,6.65397E+04,1.35166E+04,4.67184E+03,5.40769E+03,5.45396E+02,2.67348E+02,1.79752E+09,structural,22,1
26,8.51064E+04,1.90595E+04,6.70722E+03,7.90067E+03,8.22205E+02,4.20725E+02,2.87681E+09,structural,23,1
27,3.12724E+01,6.52826E-01,6.28733E-02,1.60844E-02,1.53696E-03,6.34592E-04,4.55125E+05,structural,24,1
28,1.34983E+04,1.16563E+03,3.09852E+02,3.32685E+02,3.28570E+01,2.00550E+01,2.43290E+08,structural,25,1
29,6.81884E+04,1.19972E+04,3.68251E+03,3.55199E+03,3.59495E+02,1.73556E+02,1.65924E+09,structural,26,1
30,1.07056E+05,3.40249E+04,1.43116E+04,2.33452E+04,2.42464E+03,1.20393E+03,6.49299E+09,structural,27,1
31,8.95953E+04,2.14171E+04,7.88421E+03,9.86657E+03,1.01438E+03,4.86735E+02,3.52206E+09,structural,27,1
32,4.82189E+04,7.10299E+03,2.11941E+03,2.11155E+03,2.15600E+02,7.67300E+01,1.17749E+09,structural,28,1
33,2.92283E+02,4.82969E+00,3.98280E-01,8.86534E-02,9.26725E-03,4.27567E-03,3.91506E+06,structural,29,1
34,4.16869E+03,1.68841E+02,2.32606E+01,8.59495E+00,8.91883E-01,3.80128E-01,4.14672E+07,structural,30,1
35,6.34517E+04,1.00425E+04,2.95219E+03,2.74583E+03,2.83858E+02,1.35643E+02,1.48072E+09,structural,31,1
36,1.96445E+04,1.88523E+03,4.33948E+02,2.80667E+02,2.89631E+01,2.42472E+01,4.20006E+08,structural,32,1
37,7.05226E+02,1.69269E+01,1.87183E+00,5.78944E-01,5.77888E-02,6.18375E-02,1.11962E+07,structural,33,1
38,4.84794E+02,1.19418E+01,1.24006E+00,3.32782E-01,3.35618E-02,3.40679E-02,9.93452E+06,structural,34,1
39,1.10029E+05,3.53615E+04,1.52185E+04,2.61255E+04,2.69233E+03,1.35856E+03,7.79801E+09,structural,35,1
40,9.49892E+04,2.79422E+04,1.14126E+04,1.69969E+04,1.76545E+03,8.63537E+02,4.62869E+09,structural,36,1
41,3.13615E+03,1.60241E+02,2.86658E+01,1.42417E+01,1.50566E+00,6.24655E-01,6.12015E+07,structural,37,1
42,6.77397E+04,1.43719E+04,5.15255E+03,6.54951E+03,6.66139E+02,2.93804E+02,2.42808E+09,structural,38,1
43,7.78873E+04,1.65802E+04,5.57585E+03,5.94301E+03,6.16346E+02,3.33310E+02,3.02470E+09,structural,39,1
44,1.05120E+04,6.75117E+02,1.24048E+02,6.15928E+01,6.33922E+00,7.35365E+00,2.11520E+08,structural,40,1
45,3.67419E+03,1.47486E+02,2.28301E+01,1.13493E+01,1.22369E+00,4.37723E+00,1.06742E+08,structural,41,1
46,1.11677E+04,6.50929E+02,1.08969E+02,4.83558E+01,5.13503E+00,1.87309E+00,1.26967E+08,structural,41,1
47,2.50765E+04,2.25072E+03,4.83353E+02,2.98128E+02,3.02991E+01,2.48298E+01,5.58283E+08,structural,42,1
48,7.36484E+04,1.40779E+04,4.54685E+03,4.61098E+03,4.74190E+02,2.48293E+02,2.24696E+09,structural,43,1
49,9.67979E+04,2.81346E+04,1.18827E+04,1.99761E+04,2.08985E+03,9.98353E+02,5.63974E+09,structural,44,1
