#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T16:01:27', checksum=70183186"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,4.40844E+04,2.95056E+04,1.82339E+04,5.48789E+04,5.97994E+03,2.50575E+03,3.60880E+05,9.47015E+04,1.02837E+10,structural
1,4.17389E+04,2.71296E+04,1.72140E+04,5.99539E+04,6.47776E+03,2.76212E+03,3.85670E+05,1.05231E+05,1.08917E+10,structural
2,4.25292E+04,2.99620E+04,1.87027E+04,5.72052E+04,6.19810E+03,2.49183E+03,3.68575E+05,9.71287E+04,1.08544E+10,structural
3,4.22579E+04,2.91352E+04,1.86054E+04,5.91920E+04,6.48454E+03,2.72737E+03,3.81386E+05,1.01669E+05,1.01726E+10,structural
4,4.28708E+04,2.92935E+04,1.86214E+04,5.60901E+04,6.11198E+03,2.46178E+03,3.66803E+05,9.67119E+04,1.03125E+10,structural
5,4.28279E+04,2.92127E+04,1.82750E+04,5.61833E+04,6.16574E+03,2.65195E+03,3.71685E+05,9.84475E+04,1.00513E+10,structural
6,4.37558E+04,2.87291E+04,1.77787E+04,5.64002E+04,6.29325E+03,2.71831E+03,3.75662E+05,9.99005E+04,1.03552E+10,structural
7,4.40443E+04,2.92639E+04,1.78260E+04,5.51220E+04,6.17265E+03,2.53295E+03,3.56363E+05,9.40438E+04,9.91091E+09,structural
8,4.47286E+04,2.85682E+04,1.74444E+04,5.54916E+04,6.03393E+03,2.56273E+03,3.64490E+05,9.70638E+04,1.03242E+10,structural
9,4.07586E+04,2.80956E+04,1.81209E+04,6.11104E+04,6.80292E+03,2.83341E+03,3.90347E+05,1.05105E+05,1.09175E+10,structural
10,4.41202E+04,2.89556E+04,1.78548E+04,5.54399E+04,6.15305E+03,2.56425E+03,3.61027E+05,9.50078E+04,1.01247E+10,structural
11,4.62766E+04,3.00965E+04,1.82193E+04,5.00627E+04,5.44292E+03,2.33495E+03,3.45710E+05,8.97863E+04,1.04724E+10,structural
12,4.25389E+04,2.97502E+04,1.84756E+04,5.88527E+04,6.56602E+03,2.76456E+03,3.86853E+05,1.02475E+05,1.02727E+10,structural
13,4.29291E+04,2.96329E+04,1.85193E+04,5.65497E+04,6.11564E+03,2.49705E+03,3.63372E+05,9.59526E+04,1.11290E+10,structural
14,4.20076E+04,2.77310E+04,1.77048E+04,5.83721E+04,6.52087E+03,2.69869E+03,3.69445E+05,9.95444E+04,1.09234E+10,structural
15,4.12472E+04,2.83158E+04,1.80493E+04,5.92618E+04,6.60669E+03,2.80921E+03,3.86041E+05,1.03780E+05,1.09948E+10,structural
16,4.50508E+04,2.86221E+04,1.72123E+04,5.40454E+04,5.86946E+03,2.37260E+03,3.45648E+05,9.12020E+04,9.98057E+09,structural
17,4.28509E+04,3.08467E+04,1.93819E+04,5.67171E+04,6.07444E+03,2.56460E+03,3.78778E+05,9.89203E+04,1.07668E+10,structural
18,4.33246E+04,2.91530E+04,1.81694E+04,5.47415E+04,5.95854E+03,2.51470E+03,3.57476E+05,9.38865E+04,9.83698E+09,structural
19,4.28643E+04,2.82926E+04,1.75791E+04,5.64155E+04,6.13023E+03,2.51721E+03,3.63847E+05,9.71654E+04,1.05448E+10,structural
20,4.67800E+04,2.97656E+04,1.78514E+04,5.02548E+04,5.52369E+03,2.17836E+03,3.30253E+05,8.46383E+04,1.02803E+10,structural
21,4.38979E+04,2.85148E+04,1.76457E+04,5.75090E+04,6.29810E+03,2.61509E+03,3.71743E+05,9.94583E+04,1.03879E+10,structural
22,4.35512E+04,2.87529E+04,1.77418E+04,5.70150E+04,6.36476E+03,2.70837E+03,3.70678E+05,9.92019E+04,1.04052E+10,structural
23,4.39919E+04,3.14221E+04,1.97244E+04,5.50874E+04,5.82655E+03,2.27356E+03,3.61720E+05,9.33145E+04,1.06672E+10,structural
24,4.51491E+04,3.03482E+04,1.85329E+04,5.34498E+04,6.04505E+03,2.51792E+03,3.55065E+05,9.23912E+04,9.72393E+09,structural
25,4.25097E+04,2.88862E+04,1.82330E+04,5.89965E+04,6.46755E+03,2.82354E+03,3.91112E+05,1.05110E+05,1.08178E+10,structural
26,4.71502E+04,3.00861E+04,1.78455E+04,5.06597E+04,5.41129E+03,2.22331E+03,3.37766E+05,8.73685E+04,1.00415E+10,structural
27,4.49036E+04,2.97581E+04,1.82372E+04,5.35214E+04,5.75624E+03,2.34760E+03,3.51115E+05,9.10364E+04,1.00183E+10,structural
28,4.55194E+04,2.80638E+04,1.70521E+04,5.50819E+04,5.91595E+03,2.42315E+03,3.57421E+05,9.60630E+04,1.03652E+10,structural
29,4.32051E+04,2.86383E+04,1.76268E+04,5.63019E+04,6.07495E+03,2.52236E+03,3.71201E+05,9.87563E+04,1.09106E+10,structural
30,4.50843E+04,2.92419E+04,1.79396E+04,5.44571E+04,5.82693E+03,2.38891E+03,3.56359E+05,9.34326E+04,1.01777E+10,structural
31,4.47135E+04,3.00127E+04,1.85288E+04,5.45063E+04,5.98665E+03,2.52645E+03,3.60281E+05,9.40056E+04,1.03895E+10,structural
32,4.37984E+04,3.00183E+04,1.86861E+04,5.48851E+04,6.11048E+03,2.51506E+03,3.58374E+05,9.33240E+04,1.03995E+10,structural
33,4.35031E+04,2.91033E+04,1.81598E+04,5.44219E+04,6.07138E+03,2.52065E+03,3.56219E+05,9.43136E+04,1.00983E+10,structural
34,4.76884E+04,3.01608E+04,1.75891E+04,5.07619E+04,5.60619E+03,2.23239E+03,3.34575E+05,8.62021E+04,9.89809E+09,structural
35,4.25100E+04,2.88831E+04,1.81607E+04,5.69211E+04,6.21906E+03,2.56300E+03,3.69934E+05,9.85454E+04,1.02830E+10,structural
36,4.24788E+04,2.81964E+04,1.78339E+04,5.78165E+04,6.30576E+03,2.76620E+03,3.88064E+05,1.03983E+05,1.06589E+10,structural
37,4.43879E+04,2.97350E+04,1.78185E+04,5.62978E+04,6.16963E+03,2.48609E+03,3.57544E+05,9.46271E+04,1.05596E+10,structural
38,3.94832E+04,2.69843E+04,1.75131E+04,6.49749E+04,7.00857E+03,2.80944E+03,3.98387E+05,1.09495E+05,1.14975E+10,structural
39,3.93990E+04,2.81812E+04,1.84144E+04,5.94487E+04,6.48971E+03,2.60177E+03,3.73284E+05,9.94932E+04,1.08753E+10,structural
40,4.25400E+04,2.80407E+04,1.75004E+04,5.62798E+04,6.15382E+03,2.68160E+03,3.71620E+05,9.97123E+04,9.82075E+09,structural
41,4.31645E+04,2.93312E+04,1.82097E+04,5.52798E+04,6.19814E+03,2.46926E+03,3.53668E+05,9.21956E+04,1.03597E+10,structural
42,4.29050E+04,2.78271E+04,1.75394E+04,5.73499E+04,6.30395E+03,2.77438E+03,3.78207E+05,1.01764E+05,1.09446E+10,structural
43,4.54022E+04,2.81572E+04,1.69694E+04,5.17473E+04,5.77555E+03,2.51385E+03,3.52469E+05,9.30749E+04,9.84063E+09,structural
44,4.58028E+04,2.98053E+04,1.82105E+04,5.23426E+04,5.58923E+03,2.19674E+03,3.39301E+05,8.74306E+04,9.87602E+09,structural
45,4.09303E+04,2.77973E+04,1.76631E+04,6.10088E+04,6.63743E+03,2.83603E+03,3.91094E+05,1.06477E+05,1.06511E+10,structural
46,4.35527E+04,3.02786E+04,1.84370E+04,5.49403E+04,6.23273E+03,2.65455E+03,3.67485E+05,9.68924E+04,1.02667E+10,structural
47,4.49269E+04,3.00238E+04,1.83118E+04,5.41926E+04,6.02222E+03,2.42385E+03,3.52667E+05,9.25201E+04,9.87453E+09,structural
48,4.39001E+04,2.90462E+04,1.78588E+04,5.74604E+04,6.42056E+03,2.70878E+03,3.69946E+05,9.95340E+04,1.01614E+10,structural
49,4.34974E+04,2.93318E+04,1.84294E+04,5.51624E+04,6.14738E+03,2.64359E+03,3.73486E+05,9.89587E+04,1.03117E+10,structural
50,4.51459E+04,2.90487E+04,1.79902E+04,5.29861E+04,5.85894E+03,2.45643E+03,3.48093E+05,9.09646E+04,1.00390E+10,structural
