#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T18:31:55', checksum=3196072323"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,8.88470E+04,1.82293E+04,6.15577E+03,7.76627E+03,8.31513E+02,5.42553E+02,8.55132E+04,1.65618E+04,2.26004E+09,structural
1,8.45287E+04,1.86482E+04,6.27675E+03,6.32065E+03,6.74995E+02,4.34538E+02,7.47827E+04,1.31557E+04,2.01967E+09,structural
2,9.07823E+04,1.96034E+04,6.61871E+03,7.08024E+03,7.51966E+02,4.65102E+02,7.89123E+04,1.43494E+04,2.25375E+09,structural
3,8.56077E+04,1.68688E+04,5.48190E+03,5.61687E+03,6.02669E+02,3.87119E+02,6.58804E+04,1.16603E+04,2.18554E+09,structural
4,9.10067E+04,1.87326E+04,6.25681E+03,6.69857E+03,7.12497E+02,4.41623E+02,7.54289E+04,1.35821E+04,2.16818E+09,structural
5,8.89318E+04,1.90406E+04,6.36307E+03,6.78015E+03,7.31372E+02,4.87512E+02,7.90326E+04,1.43689E+04,2.34493E+09,structural
6,8.58597E+04,1.73034E+04,5.50786E+03,5.18614E+03,5.56520E+02,3.63798E+02,6.35544E+04,1.08894E+04,2.11243E+09,structural
7,8.74861E+04,1.69536E+04,5.30235E+03,5.01757E+03,5.34014E+02,3.53985E+02,6.26435E+04,1.07551E+04,1.86393E+09,structural
8,8.71777E+04,1.83344E+04,6.18115E+03,6.72532E+03,7.17799E+02,4.30289E+02,7.27424E+04,1.32698E+04,2.06844E+09,structural
9,8.33546E+04,1.66173E+04,5.15674E+03,4.53680E+03,4.88366E+02,3.45255E+02,6.12320E+04,1.02122E+04,2.05741E+09,structural
10,8.37680E+04,1.72186E+04,5.86088E+03,6.88814E+03,7.39120E+02,4.65666E+02,7.46574E+04,1.39032E+04,2.23344E+09,structural
11,8.24075E+04,1.78019E+04,6.10147E+03,6.61102E+03,7.11481E+02,5.17244E+02,8.10760E+04,1.51366E+04,2.37608E+09,structural
12,8.70043E+04,1.91945E+04,6.59035E+03,7.04781E+03,7.54007E+02,4.51763E+02,7.82071E+04,1.39282E+04,2.25014E+09,structural
13,9.01516E+04,1.76779E+04,5.59150E+03,5.33048E+03,5.74141E+02,3.68711E+02,6.35417E+04,1.09134E+04,1.98861E+09,structural
14,8.47116E+04,1.70363E+04,5.62494E+03,5.89597E+03,6.28493E+02,3.92070E+02,6.80910E+04,1.22283E+04,2.06223E+09,structural
15,8.92216E+04,1.97924E+04,6.67357E+03,6.76671E+03,7.23245E+02,4.39288E+02,7.77226E+04,1.35640E+04,2.27466E+09,structural
16,8.84965E+04,1.84486E+04,6.03723E+03,5.93517E+03,6.35496E+02,4.18830E+02,7.28717E+04,1.27748E+04,2.23371E+09,structural
17,8.35146E+04,1.50871E+04,4.54716E+03,4.08513E+03,4.36591E+02,2.95142E+02,5.29990E+04,8.69169E+03,1.93586E+09,structural
18,9.04138E+04,1.74782E+04,5.56538E+03,5.62323E+03,6.02945E+02,4.13511E+02,6.89951E+04,1.22191E+04,2.31954E+09,structural
19,9.19867E+04,2.14717E+04,7.57592E+03,8.86154E+03,9.40979E+02,6.28736E+02,1.00050E+05,1.87950E+04,2.49613E+09,structural
20,9.01635E+04,1.85967E+04,6.05752E+03,5.96345E+03,6.36840E+02,4.31317E+02,7.46810E+04,1.30579E+04,2.23356E+09,structural
