comuna,comuna_1,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
6,,23223.0,1481322447,145955.0,13082.9837333,7198.363453,1692.78194874,590.878166766,657.99263917,72.570355206,55.9355926552,112576408,8253.97647148,1526.77797128,7.599723373896571,0.312493455651725,38.32386191305539,5655.1515682778945,1046.0607524785037
4,,11222.0,2781717665,52446.0,7330.338735,2866.62837919,604.10058439,202.556617311,218.375717896,23.9761063758,12.99703842455,156490451,2125.50180599,387.35173519,5.625676996584694,0.213652703402246,24.78175346937803,4052.7434046257104,738.5725035083705
5,,14702.0,1938502800,108834.0,8553.8662459,4505.15497017,973.58209972,326.72686446,342.669912392,38.4548658419,39.13351721687,127753845,5284.67828512,938.92933826,6.59033584554727,0.261562140129914,35.95706968123013,4855.723657239465,862.7169250969365
7,,12945.0,1437644456,68039.0,7924.3721652,3531.3843813,840.83822401,299.129623868,349.275686232,37.3312196042,21.1701360415,96489913,3578.24928738,674.263954124,6.71166730908687,0.288383310963306,31.11470780214289,5259.115047810815,990.996272908185
8,,18260.0,2661259503,94730.0,11583.6363697,4891.55029603,1052.82491642,354.229403623,377.759242795,41.9574206148,26.02159581457,155162817,4091.94047191,742.127250063,5.830427904782361,0.229777768974808,27.469223914884406,4319.582467972132,783.4131215697245
9,,11397.0,1525212474,35186.0,8039.9038044,2526.06617416,499.43754004,162.668745481,168.923728704,18.5977152779,6.42414002629,68914002,1127.2468965,202.305551024,4.518321455522538,0.163180795629552,18.257659371028247,3203.6801469334396,574.9603564599557
21,,22875.0,778100948,125655.0,12858.9182095,6913.9280271,1737.6033017,628.28710785,736.26337493,76.410677832,44.52680507781,60988819,7670.43327249,1457.00549583,7.838162782276273,0.334035750085246,35.43576067630417,6104.359772782619,1159.5284674943296
13,,24971.0,1544601519,137416.0,15092.6908209,7012.0015402,1641.4455634,575.188743591,649.673384207,68.3397513154,40.90496847051,113704376,7070.08769847,1320.56562897,7.361405172023956,0.273676469966761,29.767253064060956,5145.025105133318,960.9984492126099
12,,10008.0,876211224,66262.0,6393.8597075,2623.6460828,577.43521749,197.218082181,215.84089753,23.407426462,17.42038668299,54004366,2887.89102367,529.851859813,6.163395781196553,0.233887154896083,26.290161303597838,4358.291364084996,799.6315532477138
14,,26271.0,1183724308,147875.0,15866.6130449,7099.355405,1823.76037038,670.13455133,811.13654257,84.107146175,46.91235378869,91963616,8696.25022185,1671.20351036,7.769006283972817,0.320152054261353,31.724330541802196,5880.81164622147,1130.1460763212174
11,,14355.0,1485929811,98826.0,9035.3320741,3878.7794928,845.94083142,286.410834134,308.53662379,34.0342230478,26.90688586632,87871169,4306.1931491,784.622886283,5.913547754513834,0.23708967640404,27.226525273025317,4357.348419545463,793.9437863345679
10,,15435.0,2104735955,98743.0,10190.9381653,3956.94688557,780.83191748,251.803696643,254.479501812,27.6149350638,21.60032641751,109533146,3435.1385695,601.28264324,5.204127658137229,0.178911143918367,21.875298924997214,3478.867939499509,608.9369810923306
20,,8809.0,460253731,55925.0,7781.4568407,857.99884592,114.309202209,30.6680773199,24.5670715866,2.54773893732,1.636239251268,7031745,372.111337665,58.7365104104,1.527797554755807,0.028921999515496,2.925774253496647,665.3756596602593,105.02728727831918
16,,13943.0,1230954787,93741.0,8692.4591871,3862.6447667,820.56356736,274.777055766,292.55537553,31.201734675,24.66600250954,73525630,4026.32514704,731.921314524,5.973056895876709,0.223780640285448,26.312928717999593,4295.159158788577,780.7910247639772
15,,27726.0,1187313488,121236.0,17611.851672,7253.0019133,1646.90113455,572.176610405,642.06852022,65.846240636,28.88832700191,74916146,5445.84535045,1010.726513364,6.309719128665881,0.237489146057852,23.828175625977433,4491.93750243327,833.685137553202
17,,16680.0,7917764287,159909.0,11339.1859105,4182.20370766,729.482367418,222.179329951,206.948691444,21.97524386186,25.03637223686,304619693,3934.73841771,651.312479091,3.847294290473422,0.131746066318106,15.656637360536305,2460.610983565653,407.3019524173123
18,,14744.0,1762480248,108465.0,12168.8488579,2109.40464878,307.06244593,86.020375845,72.6637063767,7.62615755754,5.771690462452,36019928,1128.921703786,179.1138859003,2.043706772371979,0.051723803293136,5.321246911401834,1040.8165802664455,165.13519190549948
22,,6109.0,3470137568,23621.0,4770.7823965,1106.743144823,151.787714778,42.6741311414,37.0125649832,4.19294548462,1.80108626354,79563196,276.540086278,45.1850645569,2.292796594319152,0.068635545664102,7.624936554506584,1170.7382679734135,191.29192056602176
2,,19133.0,8582687257,109999.0,14086.1346427,3967.0449985230002,673.5450823134,206.7791628676,199.4960965175,21.556833036655,14.063371263687,192282421,2240.369876813,384.2555328824,2.240352175485791,0.112668337619061,12.784999194253585,2036.7184036336691,349.3263874057037
1,,7847.0,673344396,57956.0,6532.5749379,1079.623854568,155.046405078,43.288126721,36.4666263766,3.89953002559,2.520006702323,10421968,502.224632178,80.2452921792,1.54779159764702,0.049694533268638,4.348137729179032,866.561930046932,138.45898988750088
3,,9548.0,3765203981,31627.0,7420.3141764,1689.19069583,278.390804169,83.205690154,76.8986349595,8.56712425296,2.660258245688,98478466,504.757477696,85.7384652861,2.615488193782699,0.089726898334311,8.411351837632402,1595.970144800329,271.0926274578683
19,,18507.0,9611570190,102670.0,14391.197854,3379.560551582,485.3708543768,136.07617560578,114.79459089809001,12.743953591594,7.699394447254,203450022,1243.770213569,197.7652412116,2.116719931072521,0.068860180426833,7.499166696458555,1211.4251617502678,192.62222773117756
