#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T15:27:26', checksum=3895562969, investigation_time=None, risk_investigation_time=None"
loss_type,nm_barrio,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LOS CAMPECHES,1.09634E+02,9.13047E+01,2.92215E+01,1.24967E+01,2.04802E+01,2.17415E+00,8.26243E-03,4.86670E-01,4.76217E-04,1.28820E+02,1.26053E-01,2.92560E+01,2.86277E-02,1.32178E+06,1.25610E-01
structural,LOS MORÁN,2.93068E+01,2.03329E+01,5.31674E+00,1.90634E+00,2.13721E+00,3.17213E-01,5.37650E-03,9.35042E-02,2.90637E-04,1.98332E+01,6.16471E-02,3.85235E+00,1.19742E-02,2.57833E+06,3.33383E-02
structural,ALTOS DE VIREYA,7.56056E+02,5.12670E+02,1.23719E+02,4.19776E+01,4.25773E+01,4.41923E+00,2.99203E-03,1.54005E+00,2.27246E-04,3.80337E+02,5.61218E-02,6.53380E+01,9.64113E-03,3.97968E+07,7.49948E-02
structural,LOS CIRUELITOS,1.26466E+03,6.98852E+02,1.61248E+02,5.41844E+01,5.50601E+01,8.11231E+00,3.63129E-03,4.91996E-01,3.62629E-04,6.75024E+01,4.97530E-02,1.20847E+01,8.90706E-03,8.59621E+06,6.92659E-02
structural,LAS COLINAS,1.19917E+03,7.22170E+02,1.63897E+02,5.48866E+01,5.58789E+01,5.68559E+00,2.58907E-03,2.16718E+00,2.24017E-04,4.81877E+02,4.98108E-02,8.38546E+01,8.66790E-03,3.84553E+07,6.96351E-02
structural,ENSANCHE BOLIVAR,8.80284E+02,4.48763E+02,1.00153E+02,3.36223E+01,3.51778E+01,4.81862E+00,3.21670E-03,3.90987E+00,2.60289E-04,6.56635E+02,4.37138E-02,1.19850E+02,7.97870E-03,1.44762E+07,4.96125E-02
structural,MEJORAMIENTO SOCIAL,1.07533E+03,5.43451E+02,1.17716E+02,3.89266E+01,3.95761E+01,5.02426E+00,2.76819E-03,2.50543E+00,2.01484E-04,5.05968E+02,4.06895E-02,9.10893E+01,7.32532E-03,1.04847E+07,5.70527E-02
structural,BARACOA,6.02591E+02,3.38560E+02,7.85123E+01,2.64716E+01,2.68650E+01,3.77099E+00,3.51444E-03,1.71985E+00,3.01174E-04,2.58423E+02,4.52540E-02,4.52689E+01,7.92730E-03,1.46969E+07,5.58039E-02
structural,CENTRO DE LA CIUDAD,1.28792E+03,1.18482E+03,3.74493E+02,1.46961E+02,1.78807E+02,2.14128E+01,6.74845E-03,5.99960E+00,7.46287E-04,7.80593E+02,9.70975E-02,1.56858E+02,1.95115E-02,7.64915E+07,1.16914E-01
structural,GURABO,2.68692E+03,1.19868E+03,2.47137E+02,8.00285E+01,8.02380E+01,1.02566E+01,2.38914E-03,5.22540E-01,1.81859E-04,9.02486E+01,3.14091E-02,1.55412E+01,5.40879E-03,5.19048E+07,4.73086E-02
structural,LA TRINITARIA,3.44384E+02,6.93121E+01,1.20637E+01,3.43568E+00,2.80401E+00,2.22128E-01,5.14184E-04,5.18317E-02,2.12355E-05,2.11337E+01,8.65850E-03,3.24219E+00,1.32833E-03,1.10510E+07,1.31684E-02
structural,LOS JARDINES METROPOLITANOS,1.00024E+03,3.70974E+02,6.87885E+01,2.10158E+01,1.89771E+01,1.71572E+00,1.15927E-03,4.26814E-01,9.51247E-05,1.14847E+02,2.55961E-02,1.90181E+01,4.23859E-03,2.18802E+07,4.02948E-02
structural,LA ZURZA,6.43379E+02,2.82428E+02,5.26051E+01,1.55775E+01,1.40100E+01,1.20708E+00,1.19750E-03,3.16675E-01,6.49805E-05,1.14417E+02,2.34780E-02,1.78653E+01,3.66589E-03,1.47895E+07,3.98772E-02
structural,URBANIZACIÓN HENRÍQUEZ,8.76853E+02,4.36614E+02,9.21322E+01,2.96901E+01,2.87108E+01,3.85512E+00,2.63328E-03,1.74579E+00,1.99104E-04,3.09130E+02,3.52557E-02,5.26847E+01,6.00860E-03,1.37958E+07,5.11841E-02
structural,PARQUE METROPOLITANO DE SANTIAGO,2.38041E+00,4.63165E-01,9.09622E-02,3.05628E-02,3.48967E-02,3.48967E-03,1.16322E-03,1.47693E-01,3.98988E-05,1.10614E+02,2.98818E-02,2.08280E+01,5.62661E-03,7.63740E+05,9.48041E-03
structural,LOS SANTOS,4.04964E+02,2.49254E+02,6.13576E+01,2.24737E+01,2.79510E+01,3.09419E+00,4.03942E-03,2.26492E+00,3.03549E-04,4.93557E+02,6.61476E-02,1.01933E+02,1.36613E-02,5.55090E+06,8.60817E-02
structural,URBANIZACIÓN  LOS REYES,1.77415E+03,1.02505E+03,2.27960E+02,7.54593E+01,7.53787E+01,8.44631E+00,2.65774E-03,4.73169E+00,2.81815E-04,8.10668E+02,4.82827E-02,1.43517E+02,8.54772E-03,5.80442E+07,6.90414E-02
structural,EL  ENSUEÑO,1.58860E+03,6.79041E+02,1.29441E+02,4.01540E+01,3.77660E+01,4.37738E+00,1.76864E-03,2.14103E+00,1.54065E-04,4.13378E+02,2.97460E-02,7.02918E+01,5.05807E-03,1.32992E+07,4.64038E-02
structural,ENSANCHE BERMÚDEZ,8.16063E+02,4.88729E+02,1.18562E+02,4.14762E+01,4.51690E+01,6.23221E+00,4.12729E-03,3.88771E+00,3.92769E-04,5.69480E+02,5.75336E-02,1.06793E+02,1.07891E-02,9.19985E+06,7.25935E-02
structural,ALTOS DE RAFEY,7.59293E+02,4.98973E+02,1.27660E+02,4.67957E+01,5.62784E+01,6.53523E+00,4.38901E-03,1.90582E+00,2.60036E-04,4.77940E+02,6.52114E-02,9.49853E+01,1.29601E-02,4.38657E+07,6.98212E-02
structural,LA TERRAZA,2.84603E+02,1.60424E+02,3.64569E+01,1.25053E+01,1.40106E+01,1.46346E+00,2.88083E-03,6.15903E-01,1.53532E-04,1.95980E+02,4.88537E-02,3.68027E+01,9.17416E-03,1.08574E+07,6.71677E-02
structural,NIBAJE,3.66933E+02,1.92639E+02,4.46424E+01,1.57145E+01,1.80713E+01,2.14871E+00,3.36788E-03,1.32545E+00,3.84271E-04,1.81270E+02,5.25535E-02,3.58463E+01,1.03925E-02,3.45170E+06,6.43236E-02
structural,PUEBLO NUEVO,1.22620E+03,6.02370E+02,1.28941E+02,4.18775E+01,4.06077E+01,5.90487E+00,2.89454E-03,3.21858E+00,2.77871E-04,4.61718E+02,3.98617E-02,8.00147E+01,6.90795E-03,6.51324E+06,5.00246E-02
structural,RINCÓN LARGO,7.64520E+01,1.28871E+01,1.86532E+00,4.73506E-01,3.22066E-01,2.80987E-02,3.05421E-04,1.08805E-02,2.83791E-05,3.30518E+00,8.62070E-03,4.75469E-01,1.24014E-03,3.53341E+06,1.89892E-02
structural,ENSANCHE LIBERTAD,1.34612E+03,9.74997E+02,2.52339E+02,8.95777E+01,9.69620E+01,1.33596E+01,4.84043E-03,7.38416E+00,4.16806E-04,1.16859E+03,6.59625E-02,2.14222E+02,1.20920E-02,3.80150E+07,8.38429E-02
structural,REPARTO CONSUELO,5.85501E+02,2.61869E+02,5.30410E+01,1.71502E+01,1.74386E+01,1.90913E+00,2.04185E-03,8.91676E-01,1.50749E-04,2.02044E+02,3.41581E-02,3.55324E+01,6.00720E-03,1.65038E+07,5.09370E-02
structural,LA JOYA,5.87633E+02,8.27619E+02,2.96370E+02,1.24439E+02,1.70939E+02,2.03400E+01,1.01346E-02,1.16122E+01,1.20886E-03,1.41642E+03,1.47453E-01,2.99488E+02,3.11774E-02,5.22398E+07,1.72945E-01
structural,LOS CERROS DE GURABO,1.85920E+03,8.62872E+02,1.61436E+02,4.62740E+01,3.62134E+01,3.22254E+00,1.08650E-03,1.21863E+00,7.20994E-05,4.13618E+02,2.44714E-02,6.32206E+01,3.74040E-03,5.47486E+07,4.15219E-02
structural,BUENOS AIRES,1.22390E+03,7.51837E+02,1.84065E+02,6.41336E+01,6.80657E+01,9.96535E+00,4.34788E-03,3.55965E+00,3.71744E-04,5.50974E+02,5.75396E-02,1.01772E+02,1.06283E-02,1.55071E+07,7.09626E-02
structural,GREGORIO LUPERÓN,6.18440E+02,3.51622E+02,7.60893E+01,2.45832E+01,2.32655E+01,2.12328E+00,1.94084E-03,2.38388E+00,1.66667E-04,6.17443E+02,4.31680E-02,1.04325E+02,7.29376E-03,3.35700E+07,6.44085E-02
structural,LOS SALADOS,9.48962E+02,6.19153E+02,1.55619E+02,5.50542E+01,6.12126E+01,8.85296E+00,4.81139E-03,7.46719E+00,4.57090E-04,1.02590E+03,6.27986E-02,1.89539E+02,1.16023E-02,1.27631E+07,8.35370E-02
structural,LAS ANTILLAS,5.55107E+02,3.74688E+02,9.29969E+01,3.28978E+01,3.63104E+01,3.84008E+00,3.51655E-03,1.13474E+00,3.59736E-04,2.07469E+02,6.57721E-02,3.80388E+01,1.20591E-02,2.61294E+07,8.69025E-02
structural,BUENA VISTA,8.29126E+02,4.23703E+02,9.00170E+01,2.94976E+01,2.96568E+01,3.34053E+00,2.38269E-03,2.56641E+00,2.05521E-04,5.71114E+02,4.57355E-02,1.06096E+02,8.49633E-03,2.49246E+07,6.23291E-02
structural,MONTE ADENTRO,2.29387E+01,5.89573E+00,1.23350E+00,4.28332E-01,5.03782E-01,5.03782E-02,1.62510E-03,2.64760E-02,4.22669E-05,1.95308E+01,3.11794E-02,3.73296E+00,5.95939E-03,7.44938E+05,4.32961E-02
structural,LOS RIELES,1.27091E+03,5.21041E+02,9.45669E+01,2.81915E+01,2.42882E+01,2.57346E+00,1.32721E-03,7.92148E-02,1.23447E-04,1.69756E+01,2.64545E-02,2.76198E+00,4.30421E-03,3.45082E+07,4.35146E-02
structural,EL DORADO,1.08321E+03,4.55511E+02,8.21437E+01,2.37950E+01,1.93374E+01,1.57135E+00,9.44323E-04,7.49469E-01,7.21190E-05,2.54186E+02,2.44595E-02,3.93873E+01,3.79011E-03,2.45783E+07,4.19362E-02
structural,PONTEZUELA AL MEDIO,1.05389E+03,4.18156E+02,7.46735E+01,2.15389E+01,1.77436E+01,1.83640E+00,1.15788E-03,8.01251E-01,1.02405E-04,1.86473E+02,2.38325E-02,2.97563E+01,3.80304E-03,1.94414E+07,4.03202E-02
