NM_BARR,ID_BARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CIENFUEGOS,125010101001.0,16591.022584080496,218404219,65178.0,16495.948423,91.962665817,2.72536011344,0.2965749716768,0.08826010879778,0.010821104921127,0.004335339168099,89064,1.511828595971,0.15221563167028,0.040779598519696,6.5222651987e-05,0.006651537586454,2.319538181550523,0.233538359063304
MONTE RICO,125010101002.0,5169.0,405205784,49196.7,5123.3145497,44.5157448566,1.04924878558,0.0969533800024,0.0235521844667,0.003416028044338,0.003260562516895,197763,1.150202560101,0.08562779198405,0.048805648035794,6.6086826162e-05,0.006627604121607,2.337966896358902,0.174051901822785
LOS SALADOS,125010101003.0,1840.0,152783732,16336.350000000002,1819.454815,19.960704903139998,0.5199618400809,0.05115096053587,0.013326123206331,0.001901600206533,0.001621384710244,99739,0.61165406603,0.045945705156,0.065281228420487,0.000103347837312,0.009925012075794,3.744129294671086,0.281248290811595
ENSANCHE LIBERTAD,125010101004.0,2760.0,453407722,17716.050000000003,2732.4118398,26.896001148019998,0.621168380166,0.057120227676404,0.013828885721401,0.001947750630063,0.000976463608586,202425,0.39937353944,0.028328788229,0.044645336231711,7.0570675002e-05,0.005511745612515,2.254303523866776,0.159904652724507
ALTOS DE VIREYA,125010101005.0,1477.0,530659938,6777.0,1442.506608,32.9002372179,1.3927452315791,0.158924016785923,0.04146832931285,0.004761475284456,0.002316595015178,1121776,1.524705855813,0.1088613517525,0.211392579382555,0.000322374765366,0.034183193377276,22.49824193320053,1.606335425003689
ENSANCHE BERMÚDEZ,125010101007.0,1510.0,126731085,9898.200000000003,1491.4214654,18.059880465,0.4620638118908,0.045005000535775,0.011548728253703,0.001584680523942,0.000997328106065,76729,0.36054615004,0.0308518347364,0.060544767533518,0.000104945730062,0.010075853246701,3.642542583904143,0.311691365464428
LA OTRA BANDA,125010101008.0,2708.0,340382584,19035.231621164512,2686.2596109,21.2091037949,0.476494838922,0.0439862499868,0.01079796869682,0.001425915717979,0.001003567874497,136046,0.364761356887,0.0307538126951,0.039968642338514,5.2655676439e-05,0.005272160037083,1.916243333133055,0.161562587244308
BARACOA,125010101009.0,1073.0,263366544,5710.500000000001,1060.7745892,11.903699943904,0.28814388907447,0.026960900768966,0.006617208763436,0.000945004030567,0.000427599460327,114215,0.156447473639,0.0113282665426,0.043367460992048,8.8071205085e-05,0.007487951323474,2.739645804027668,0.198376088654233
LA JOYA,125010101010.0,2007.0,302060875,9605.917051734727,1728.4846646,254.68291703,19.722482413,3.051382417,1.05852798044,0.12693884954,0.07853194315845,3061865,21.204182691,2.44668318775,1.013658210453565,0.0063248056572,0.817537177715562,220.74084730068273,25.470584167788076
BELLA  VISTA,125010101011.0,3794.0,429743685,23005.34426006395,3755.9248226,36.98080896832,0.96750421276414,0.099566591860168,0.027279346238848,0.003525895405311,0.002113799174931,181327,0.711565826986,0.0641652009386,0.042194194664547,9.2933458232e-05,0.00918829621081,3.093045767722939,0.278914326224569
PERALTA,125010101012.0,2863.0,423721701,8959.95,2841.5943088,20.85217967672,0.4939055842449,0.047446188975495,0.012114137581062,0.0015750430396,0.000397195310831,162307,0.166680803044,0.0126145472167,0.038305137706963,5.5013728243e-05,0.004433008117579,1.860287200754468,0.14078814297736
LA YAGÜITA DE PASTOR,125010101013.0,2820.0,332892170,17275.369064893974,2779.8268656,38.75738187974,1.20687891082419,0.153124674295068,0.055716555867754,0.006026567272308,0.001295771169269,145330,0.726716530617,0.0750719721925,0.043656674760261,0.000213708059302,0.007500685886371,4.206662838212772,0.434560743162686
LOS JAZMINES,125010101014.0,3368.0,222887660,27999.000000000004,3340.839416,26.42564670426,0.64748863240507,0.067304108013105,0.020068568540552,0.002476863209345,0.001487738630946,97350,0.621261532267,0.0521746751549,0.043676598312557,7.3541069161e-05,0.005313542022738,2.21887043204043,0.186344780723954
NIBAJE,125010101015.0,638.0,53661450,3449.25,629.8516387,7.886526208442,0.22991716140196,0.024875344143287,0.0070545947054,0.00084476819624,0.000537437167529,30805,0.170622836128,0.0190906460101,0.057406115344934,0.000132408808188,0.015581276147829,4.94666481490179,0.553472378346017
CENTRO DE LA CIUDAD,125010101016.0,3173.0,654252704,8039.269029398329,2717.6647232,413.47158024912,34.39756655768213,5.491657836739782,1.974392805970698,0.23686444171195,0.067815320654546,7147304,17.697078808514,2.0778968350826,1.092437869433802,0.007464999738795,0.843550830387145,220.13293427298672,25.846837908820586
PUEBLO NUEVO,125010101017.0,2040.0,130200881,11583.0,2019.2870281,20.18582721719,0.47353652304683,0.043255063735283,0.010363259921787,0.001532014836479,0.000839164470853,57614,0.297348390734,0.0210316315001,0.044249710448393,7.5098766494e-05,0.007244793843158,2.567110340447207,0.181573266857464
ENSANCHE BOLIVAR,125010101018.0,1498.0,291785277,15021.240806580496,1483.8455465,13.77911847888,0.33528528488978,0.031992744439059,0.00803579410289,0.001125634121179,0.000883275389746,109154,0.338647666979,0.0265408039576,0.03740898790816,7.5142464698e-05,0.005880175952968,2.254458678477782,0.176688492644183
LOS CIRUELITOS,125010101019.0,2234.0,124104513,1356.75,2206.6311918,26.595403215999998,0.68890700291,0.067196090934,0.017210423054,0.002542820258952,0.000156466259971,85037,0.057171101366,0.00460082392452,0.068520484941441,0.000113823646327,0.011532431175296,4.213827261175603,0.339106240981758
LAS COLINAS,125010101020.0,2196.0,552239946,9674.156424717643,2167.3225576,27.80186970422,0.7799237289404,0.077041048896477,0.018650104978167,0.001512478930823,0.001386976296834,794560,1.200941084362,0.0853860219225,0.143879439470353,6.8874268252e-05,0.01433692237279,12.413910129606485,0.882619818967752
URBANIZACIÓN  LOS REYES,125010101021.0,3178.0,840715436,16790.038666233897,3147.7835142,29.5004366921,0.6423840235505,0.05910672790801,0.014614335595419,0.001727847030121,0.000925068429961,441435,0.3930358976506,0.02842771759819,0.052507020950147,5.4369006612e-05,0.005509626561024,2.340887388431252,0.169312996612452
BUENOS AIRES,125010101022.0,2292.0,218524372,9575.550000000001,2263.8069194,27.42776331293,0.68306473918886,0.065373697019225,0.016882332689702,0.002391363978851,0.000786013447253,114897,0.321243392816,0.0259788179295,0.052578347281496,0.000104335252131,0.008208546216698,3.354829673658432,0.271303663283049
