#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gitd06801bbb2', start_date='2022-05-18T16:24:40', checksum=3263647555, investigation_time=None, risk_investigation_time=None"
loss_type,nm_barrio,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LOS CAMPECHES,2.59549E+02,3.44721E+00,1.20612E-01,1.47571E-02,4.76825E-03,5.32857E-04,2.02502E-06,1.76584E-04,1.72792E-07,7.64898E-02,7.48469E-05,8.89924E-03,8.70809E-06,7.58009E+03,7.20343E-04
structural,LOS MORÁN,5.84166E+01,5.67790E-01,1.39642E-02,1.30684E-03,3.17944E-04,4.75519E-05,8.05965E-07,1.29567E-05,4.02732E-08,5.51298E-03,1.71359E-05,4.07737E-04,1.26736E-06,6.18895E+03,8.00242E-05
structural,ALTOS DE VIREYA,1.44251E+03,3.29002E+01,1.39274E+00,1.58924E-01,4.14683E-02,4.76148E-03,3.22375E-06,2.31659E-03,3.41832E-07,1.52471E+00,2.24982E-04,1.08861E-01,1.60633E-05,1.12178E+06,2.11393E-03
structural,LOS CIRUELITOS,2.20663E+03,2.65954E+01,6.88908E-01,6.71959E-02,1.72105E-02,2.54281E-03,1.13823E-06,1.56466E-04,1.15324E-07,5.71711E-02,4.21383E-05,4.60082E-03,3.39106E-06,8.50370E+04,6.85205E-04
structural,LAS COLINAS,2.16732E+03,2.78019E+01,7.79923E-01,7.70410E-02,1.86501E-02,1.51248E-03,6.88743E-07,1.38698E-03,1.43369E-07,1.20094E+00,1.24139E-04,8.53858E-02,8.82618E-06,7.94560E+05,1.43879E-03
structural,ENSANCHE BOLIVAR,1.48385E+03,1.37791E+01,3.35286E-01,3.19928E-02,8.03580E-03,1.12563E-03,7.51425E-07,8.83275E-04,5.88018E-08,3.38648E-01,2.25446E-05,2.65408E-02,1.76688E-06,1.09154E+05,3.74090E-04
structural,MEJORAMIENTO SOCIAL,1.80285E+03,1.19027E+01,2.24918E-01,1.88634E-02,4.26948E-03,5.65080E-04,3.11339E-07,2.74877E-04,2.21054E-08,1.36985E-01,1.10162E-05,1.04402E-02,8.39593E-07,5.77610E+04,3.14308E-04
structural,BARACOA,1.06077E+03,1.19037E+01,2.88144E-01,2.69609E-02,6.61721E-03,9.45005E-04,8.80713E-07,4.27599E-04,7.48795E-08,1.56447E-01,2.73965E-05,1.13283E-02,1.98376E-06,1.14215E+05,4.33675E-04
structural,CENTRO DE LA CIUDAD,2.71766E+03,4.13472E+02,3.43975E+01,5.49165E+00,1.97439E+00,2.36864E-01,7.46499E-05,6.78152E-02,8.43550E-06,1.76971E+01,2.20133E-03,2.07789E+00,2.58468E-04,7.14730E+06,1.09244E-02
structural,GURABO,4.25937E+03,3.28046E+01,7.39983E-01,7.04361E-02,1.83839E-02,2.34785E-03,5.46902E-07,1.03197E-04,3.59156E-08,4.24567E-02,1.47762E-05,3.19925E-03,1.11343E-06,3.77829E+05,3.44372E-04
